day;region;team;elo
83;LEC;Excel Esports;2567.5
83;LEC;Schalke 04;2534.4
83;LEC;Fnatic;2738.7
83;LEC;Origen;2718.8
84;LEC;G2 Esports;2766.8
84;LEC;MAD Lions;2659.4
84;LEC;SK Gaming;2392.1
84;LEC;Team Vitality;2386.1
84;LEC;Rogue;2633.2
84;LEC;Misfits Gaming;2603.0
84;LEC;Excel Esports;2567.5
84;LEC;Schalke 04;2534.4
84;LEC;Fnatic;2738.7
84;LEC;Origen;2718.8
85;LEC;G2 Esports;2766.8
85;LEC;MAD Lions;2659.4
85;LEC;SK Gaming;2392.1
85;LEC;Team Vitality;2386.1
